11:45:15.941 [SpringApplicationShutdownHook] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:218, serverValue:145791}] to ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017
11:45:58.343 [cluster-ClusterId{value='6a5cff43102a56085b2f6dad', description='null'}-ac-7fti1kk-shard-00-00.00beyc0.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:140501}] to ac-7fti1kk-shard-00-00.00beyc0.mongodb.net:27017
11:45:58.344 [cluster-ClusterId{value='6a5cff43102a56085b2f6dad', description='null'}-ac-7fti1kk-shard-00-00.00beyc0.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-7fti1kk-shard-00-00.00beyc0.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=525432600, setName='atlas-jgfo37-shard-0', canonicalAddress=ac-7fti1kk-shard-00-00.00beyc0.mongodb.net:27017, hosts=[ac-7fti1kk-shard-00-00.00beyc0.mongodb.net:27017, ac-7fti1kk-shard-00-02.00beyc0.mongodb.net:27017, ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017], passives=[], arbiters=[], primary='ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=219, topologyVersion=TopologyVersion{processId=6a5902b5e2b4205995ca00f2, counter=4}, lastWriteDate=Sun Jul 19 01:04:11 COT 2026, lastUpdateTimeNanos=6938473788500}
11:45:58.344 [cluster-ClusterId{value='6a5cff43102a56085b2f6dad', description='null'}-ac-7fti1kk-shard-00-02.00beyc0.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:139173}] to ac-7fti1kk-shard-00-02.00beyc0.mongodb.net:27017
11:45:58.346 [cluster-ClusterId{value='6a5cff43102a56085b2f6dad', description='null'}-ac-7fti1kk-shard-00-02.00beyc0.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-7fti1kk-shard-00-02.00beyc0.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=526611700, setName='atlas-jgfo37-shard-0', canonicalAddress=ac-7fti1kk-shard-00-02.00beyc0.mongodb.net:27017, hosts=[ac-7fti1kk-shard-00-00.00beyc0.mongodb.net:27017, ac-7fti1kk-shard-00-02.00beyc0.mongodb.net:27017, ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017], passives=[], arbiters=[], primary='ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=219, topologyVersion=TopologyVersion{processId=6a59074d780e7af16fd62102, counter=3}, lastWriteDate=Sun Jul 19 01:04:11 COT 2026, lastUpdateTimeNanos=6938475259100}
11:45:58.364 [main] INFO  org.mongodb.driver.cluster - No server chosen by WritableServerSelector from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-7fti1kk-shard-00-00.00beyc0.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=525432600, setName='atlas-jgfo37-shard-0', canonicalAddress=ac-7fti1kk-shard-00-00.00beyc0.mongodb.net:27017, hosts=[ac-7fti1kk-shard-00-00.00beyc0.mongodb.net:27017, ac-7fti1kk-shard-00-02.00beyc0.mongodb.net:27017, ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017], passives=[], arbiters=[], primary='ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=219, topologyVersion=TopologyVersion{processId=6a5902b5e2b4205995ca00f2, counter=4}, lastWriteDate=Sun Jul 19 01:04:11 COT 2026, lastUpdateTimeNanos=6938473788500}, ServerDescription{address=ac-7fti1kk-shard-00-02.00beyc0.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=526611700, setName='atlas-jgfo37-shard-0', canonicalAddress=ac-7fti1kk-shard-00-02.00beyc0.mongodb.net:27017, hosts=[ac-7fti1kk-shard-00-00.00beyc0.mongodb.net:27017, ac-7fti1kk-shard-00-02.00beyc0.mongodb.net:27017, ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017], passives=[], arbiters=[], primary='ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=219, topologyVersion=TopologyVersion{processId=6a59074d780e7af16fd62102, counter=3}, lastWriteDate=Sun Jul 19 01:04:11 COT 2026, lastUpdateTimeNanos=6938475259100}]}. Waiting for 30000 ms before timing out
11:45:58.850 [cluster-rtt-ClusterId{value='6a5cff43102a56085b2f6dad', description='null'}-ac-7fti1kk-shard-00-02.00beyc0.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:6, serverValue:139173}] to ac-7fti1kk-shard-00-02.00beyc0.mongodb.net:27017
11:45:58.889 [cluster-rtt-ClusterId{value='6a5cff43102a56085b2f6dad', description='null'}-ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:145964}] to ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017
11:45:59.525 [cluster-ClusterId{value='6a5cff43102a56085b2f6dad', description='null'}-ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:146048}] to ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017
11:45:59.526 [cluster-ClusterId{value='6a5cff43102a56085b2f6dad', description='null'}-ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=1780486100, setName='atlas-jgfo37-shard-0', canonicalAddress=ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017, hosts=[ac-7fti1kk-shard-00-00.00beyc0.mongodb.net:27017, ac-7fti1kk-shard-00-02.00beyc0.mongodb.net:27017, ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017], passives=[], arbiters=[], primary='ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff00000000000002e3, setVersion=219, topologyVersion=TopologyVersion{processId=6a590558d2b5d0363332da14, counter=6}, lastWriteDate=Sun Jul 19 01:04:12 COT 2026, lastUpdateTimeNanos=6939655497400}
11:45:59.526 [cluster-ClusterId{value='6a5cff43102a56085b2f6dad', description='null'}-ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max election id to 7fffffff00000000000002e3 from replica set primary ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017
11:45:59.527 [cluster-ClusterId{value='6a5cff43102a56085b2f6dad', description='null'}-ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max set version to 219 from replica set primary ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017
11:45:59.527 [cluster-ClusterId{value='6a5cff43102a56085b2f6dad', description='null'}-ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017
