10:42:02.595 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [net.engineeringdigest.JournalApp.repository.UserRepositoryImplTests], using SpringBootContextLoader
10:42:07.495 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Eclipse Adoptium/17.0.16+8", "application": {"name": "Cluster0"}} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='sharma_priyanshu', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@5a484ce1]}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.00beyc0.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-jgfo37-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null}
10:42:07.508 [cluster-ClusterId{value='6a662acf8e3bd25973b72b4d', description='null'}-srv-cluster0.00beyc0.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-7fti1kk-shard-00-00.00beyc0.mongodb.net:27017 to client view of cluster
10:42:07.510 [cluster-ClusterId{value='6a662acf8e3bd25973b72b4d', description='null'}-srv-cluster0.00beyc0.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-7fti1kk-shard-00-02.00beyc0.mongodb.net:27017 to client view of cluster
10:42:08.537 [cluster-rtt-ClusterId{value='6a662acf8e3bd25973b72b4d', description='null'}-ac-7fti1kk-shard-00-02.00beyc0.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:252571}] to ac-7fti1kk-shard-00-02.00beyc0.mongodb.net:27017
10:42:08.538 [cluster-ClusterId{value='6a662acf8e3bd25973b72b4d', description='null'}-ac-7fti1kk-shard-00-02.00beyc0.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:252571}] to ac-7fti1kk-shard-00-02.00beyc0.mongodb.net:27017
10:42:08.537 [cluster-rtt-ClusterId{value='6a662acf8e3bd25973b72b4d', description='null'}-ac-7fti1kk-shard-00-00.00beyc0.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:4, serverValue:253128}] to ac-7fti1kk-shard-00-00.00beyc0.mongodb.net:27017
10:42:08.537 [cluster-rtt-ClusterId{value='6a662acf8e3bd25973b72b4d', description='null'}-ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:263787}] to ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017
10:42:08.538 [cluster-ClusterId{value='6a662acf8e3bd25973b72b4d', description='null'}-ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:6, serverValue:263787}] to ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017
10:42:08.537 [cluster-ClusterId{value='6a662acf8e3bd25973b72b4d', description='null'}-ac-7fti1kk-shard-00-00.00beyc0.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:253128}] to ac-7fti1kk-shard-00-00.00beyc0.mongodb.net:27017
10:42:08.539 [cluster-ClusterId{value='6a662acf8e3bd25973b72b4d', description='null'}-ac-7fti1kk-shard-00-00.00beyc0.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-7fti1kk-shard-00-00.00beyc0.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=447573500, setName='atlas-jgfo37-shard-0', canonicalAddress=ac-7fti1kk-shard-00-00.00beyc0.mongodb.net:27017, hosts=[ac-7fti1kk-shard-00-00.00beyc0.mongodb.net:27017, ac-7fti1kk-shard-00-02.00beyc0.mongodb.net:27017, ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017], passives=[], arbiters=[], primary='ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=219, topologyVersion=TopologyVersion{processId=6a5f9802ada197b50e3a78d6, counter=4}, lastWriteDate=Sun Jul 26 00:00:10 COT 2026, lastUpdateTimeNanos=137017460665200}
10:42:08.539 [cluster-ClusterId{value='6a662acf8e3bd25973b72b4d', description='null'}-ac-7fti1kk-shard-00-02.00beyc0.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-7fti1kk-shard-00-02.00beyc0.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=452247200, setName='atlas-jgfo37-shard-0', canonicalAddress=ac-7fti1kk-shard-00-02.00beyc0.mongodb.net:27017, hosts=[ac-7fti1kk-shard-00-00.00beyc0.mongodb.net:27017, ac-7fti1kk-shard-00-02.00beyc0.mongodb.net:27017, ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017], passives=[], arbiters=[], primary='ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=219, topologyVersion=TopologyVersion{processId=6a5f98c08cc19f76cddc812f, counter=3}, lastWriteDate=Sun Jul 26 00:00:10 COT 2026, lastUpdateTimeNanos=137017460479900}
10:42:08.539 [cluster-ClusterId{value='6a662acf8e3bd25973b72b4d', description='null'}-ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=452476801, setName='atlas-jgfo37-shard-0', canonicalAddress=ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017, hosts=[ac-7fti1kk-shard-00-00.00beyc0.mongodb.net:27017, ac-7fti1kk-shard-00-02.00beyc0.mongodb.net:27017, ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017], passives=[], arbiters=[], primary='ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff00000000000002e5, setVersion=219, topologyVersion=TopologyVersion{processId=6a5f9861c2750d6f913df464, counter=6}, lastWriteDate=Sun Jul 26 00:00:10 COT 2026, lastUpdateTimeNanos=137017460728300}
10:42:08.546 [cluster-ClusterId{value='6a662acf8e3bd25973b72b4d', description='null'}-ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max election id to 7fffffff00000000000002e5 from replica set primary ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017
10:42:08.546 [cluster-ClusterId{value='6a662acf8e3bd25973b72b4d', description='null'}-ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max set version to 219 from replica set primary ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017
10:42:08.547 [cluster-ClusterId{value='6a662acf8e3bd25973b72b4d', description='null'}-ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017
10:42:09.011 [main] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:7, serverValue:263841}] to ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017
10:42:09.962 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@6dded900, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@d504137, org.springframework.security.web.context.SecurityContextPersistenceFilter@1187dc82, org.springframework.security.web.header.HeaderWriterFilter@1682e6a, org.springframework.security.web.authentication.logout.LogoutFilter@223967ea, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@3b39e79b, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3ea48c37, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@489f62a3, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@8432469, org.springframework.security.web.session.SessionManagementFilter@11d2714a, org.springframework.security.web.access.ExceptionTranslationFilter@7c7ed72a, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@5908e6d6]
10:42:11.413 [main] INFO  n.e.J.r.UserRepositoryImplTests - Started UserRepositoryImplTests in 7.808 seconds (JVM running for 11.105)
